题名,作者,出版社
人淡如菊,亦舒,南海出版社
数学分析习题演练,周民强,科学出版社
数学物理方程与特殊函数学习指导与习题全解,赵振海,大连理工大学出版社
数值分析,金凯德,机械工业出版社
特殊矩阵,陈景良,清华大学出版社
西方哲学史,罗素,北京出版社
心理学与生活,格里格,人民邮电出版社
中国哲学简史,冯友兰,新世纪出版社
追风筝的人,侯赛尼,上海人民出版社
ANSYS 7.0实例精解,姜勇,清华大学出版社
ANSYS 9.0经典产品基础教程与实例详解,博弈创作室,中国水利水电出版社
MATLAB 6.5辅助优化计算与设计,飞思科技产品研发中心,电子工业出版社
MATLAB语言常用算法程序集,龚纯,电子工业出版社
MATLAB在振动信号处理中的应用,王济,"中国水利水电出版社;""知识产权出版社"""
Visual C++经典游戏程序设计,罗伟坚,人民邮电出版社
毕业了，我们一无所有,一草,新星出版社
大学数学,刘坤林,"清华大学出版社;""施普林格出版社"""
电磁场理论基础,王蔷,清华大学出版社
复变函数辅导及习题精解,滕加俊,陕西师范大学出版社
复变函数及应用,布朗,机械工业出版社
概率与统计,施皮格尔,"科学出版社;""麦格劳-希尔敎育出版集团"""
高等传热学学习指导及典型题精解,张强,西安交通大学出版社
混沌及其应用,黄润生,武汉大学出版社
科学与工程数值算法,周长发,清华大学出版社
曼昆《宏观经济学》(第4和5版)笔记和课后习题详解,金圣才,中国石化出版社
秘密,东野圭吾,海南出版社
枪炮、病菌与钢铁,戴蒙德,上海译文出版社
人性的弱点,卡耐基,海潮出版社
数值计算方法,李乃成,西安交通大学出版社
物理学难题集萃,舒幼生,高等敎育出版社
系统工程,汪应洛,机械工业出版社
线性代数与空间解析几何学习指导,俞正光,科学出版社
有限元分析基础篇ANSYS与Matlab,夸克工作室,清华大学出版社
C Primer Plus (第五版) 中文版,普拉塔,人民邮电出版社
Essential C++中文版,李普曼,华中科技大学出版社
Origin 8.0实用指南,方安平,机械工业出版社
尘埃落定,阿来,人民文学出版社
大学生数学建模案例精选,罗万成,西南交通大学出版社
大学物理课程学习与解题指导,李炳虎,湖南大学出版社
丰乳肥臀,莫言,中国工人出版社
复变函数与积分变换学习指导,盖云英,科学出版社
概率论与数理统计,茆诗松,中国统计出版社
概率论与数理统计应用,施雨,西安交通大学出版社
国富论,斯密,陕西人民出版社
哈利·波特与魔法石,Rowling,天津科技翻译出版公司
喚醒心中的巨人,马登,中国发展出版社
量子物理,赵凯华,高等敎育出版社
明朝那些事儿,当年明月,浙江人民出版社
人工神经网络教程,韩力群,北京邮电大学出版社
数学分析,阿波斯托尔,机械工业出版社
万歷十五年,黄仁宇,生活?读书?新知三联书店
物理化学习题详解,汪存信,武汉大学出版社
线性代数习题集,胡显佑,南开大学出版社
肖申克的救赎,金,人民文学出版社
有限元法基础,李人宪,国防工业出版社
数据挖掘导论,谭,人民邮电出版社
ANSYS有限元分析实用教程,李黎明,清华大学出版社
C++语言--习题与解析,李春葆,清华大学出版社
Maple 8基础应用教程,李强,中国水利水电出版社
"别闹了, 费曼先生",范曼,"三联书店;""天下文化出版公司"""
传奇,张爱玲,湖南文艺出版社
单目标、多目标与整数规划,卢开澄,清华大学出版社
电磁场与电磁波,赵家升,西北工业大学出版社
泛函分析,鲁丁,机械工业出版社
非线性振动,刘延柱,高等敎育出版社
复分析,阿尔福斯,机械工业出版社
高等数学金版辅导,陆璇,学苑出版社
高等数学学习辅导与考题解析,黄光谷,华中科技大学出版社
高等数学疑难解析,刘群,东北大学出版社
高效能人士的七个习惯,科维,中国靑年出版社
光学,轩植华,科学出版社
宏观经济学,曼昆,中国人民大学出版社
精通MATLAB 7编程与数据库应用,董振海,电子工业出版社
理想国,柏拉图,九州出版社
鹿鼎记,金庸,"广州出版社;""花城出版社"""
梦的解析,弗洛伊德,上海三联书店
面测,大理,台海出版社
凝聚态物理学,冯端,高等敎育出版社
全球通史,斯塔夫里亚诺斯,北京大学出版社
人工神经网络原理及应用,朱大奇,科学出版社
数学分析,卓里奇,高等敎育出版社
数学建模,杨启帆,高等敎育出版社
数学建模与数学实验,赵静,"高等敎育出版社;""施普林格出版社"""
死亡约会,克里斯蒂,人民文学出版社
微型计算机原理典型题解析及自测试题,乔瑞萍,西北工业大学出版社
线性代数典型题详解,陈跃,机械工业出版社
笑话、幽默与逻辑,谭大容,北京大学出版社
雪山飞狐,金庸,"广州出版社;""花城出版社"""
钟表馆幽灵,绫,珠海出版社
组织和细胞培养技术,章静波,人民卫生出版社
ABC谋杀案,克里斯蒂,人民文学出版社
ANSYS 11.0有限元分析理论与工程应用,张朝晖,电子工业出版社
C++入门经典,霍顿,清华大学出版社
C和指针,里科,人民邮电出版社
DSP的集成开发环境,彭启琮,电子工业出版社
Maple 6实用教程,洪伟,国防工业出版社
